66526219_388483762964926464 x	RT @GLEEonFOX: "He was my person." - Rachel Berry #RememberingCory #glee
66526219_388482449950646272 x	@regina_wrong lol its school so no its not fun lol jk but its a great program
66526219_388481227621425152 x	omg omg i cant lea michele, really broke me. i can feel her pain like really bad #RememberingCory
66526219_388480232568913920 x	seeing rachel in the part made me even more sad but happy at the same time
66526219_388479916079349760 x	@regina_wrong ultra sound tech :)
66526219_388477865496674304 x	@regina_wrong i wanted to do something else
66526219_388476968515411968 x	@regina_wrong idk i switched my major
66526219_388475997752135680 x	@regina_wrong you gotta let me know when girl im a busy person now lol
66526219_388474645961515008 x	damn go ahead santana @NayaRivera
66526219_388474267681447937 x	if every fan is sad and crying now just wait until lea michele sings her solo now thats going to hit me hard #RememberingCory #FarewellFinn
66526219_388472791961706496 x	RT @ravee_nn: I'm really in here crying yo
66526219_388472329824915456 x	i never been this emotional for a show #RememberingCory
66526219_388471296927227904 x	#RipCoryMonteith always loved and never forgotten. #RememberingCory
66526219_388469998186135552 x	#RememberingCory #glee #FarewellFinn
66526219_388469470211362817 x	Sad already #glee #FarewellFinn
66526219_388467751620452352 x	i never cried while watching a tv show at all. but i know when glee comes on it will happen. #FarewellFinn
66526219_388465805220143104 x	I miss my friend oh so much @regina_wrong
66526219_388459703938088960 x	RT @BoyceAvenue__: RT to make me happy
66526219_388448818850975744 x	RT @ddlovato: It's the last day of the #4ChairChallenge!!!! Who do you think is going through to the live shows?? #xfactor
66526219_388444429939658752 x	Cant wait to see you tomorrow :) its been a whole week!!!
66526219_388428316731904000 x	"@jalissaramos: This week has literally been the week from hell" i thought i was the only one thinking that
66526219_388368128356671488 x	RT @GLEEonFOX: #glee is all-new tonight at 9/8c. http://t.co/P0nlQV0S9n
66526219_388366489826652160 x	@logencraig its all good sis cuz believe me i do the same thing every time too. Worst class i ever had lol
66526219_388347615441862656 x	RT @bigbootyjesss: I don't understand people
66526219_388315588151750656 x	@b_hassan9 cuz school is more important
66526219_388316038355775488 x	@b_hassan9 both is but school is more. Gotta go to school if u wanna play in your game tonight
66526219_388325051202043906 x	@b_hassan9 that is true...n if i can make it threw school so can u :p
66526219_388312703254941696 x	:)
66526219_388310962824294400 x	@b_hassan9 why do you always sit next to the weird ppl?
66526219_388311397534556160 x	@b_hassan9 awh how sweet. Lol you just cant win can you?
