17224281_382593389780152320 x	@JaneeTMB Don't hate them for not loving U, love them for showing U who they really are....
17224281_382600151010799616 x	@JaneeTMB Ok cool I thought I was gonna have to fly somewhere...
17224281_382593041145417728 x	RT @Philly360: The Business of Making Music - Oct. 16th at The @KimmelCenter w/@doxortho @CarvinHaggins @MamasBoysMusic http://t.co/icaR2qA?
17224281_382488358586290176 x	Good morning......Warn a divisive person once, and then warn them a second time. After that, have nothing to do with them.Titus 3:10
17224281_382153503172755456 x	If being what you've been has gotten you no where, then it's time to be something else... #CGHThought http://t.co/v7w3mnO2FQ
17224281_382127565122449409 x	RT @ashanti: I am Honored to help celebrate #RayCharles and his legacy with a new stamp today! Join me at 11am @Morehouse. @USPSStamps ???
17224281_382122885776564224 x	Good morning...Wisdom will save you from the ways of wicked men,     from men whose words are perverse, Proverbs 2:12
17224281_381531784795533312 x	If you work for a living why do U kill urself working? #TheGoodthebadtheugly
17224281_381464381101731840 x	Nothing of what you learn make sense until you learn to use it... #CGHThought http://t.co/JvSyTSkG16
17224281_381263459444613120 x	In the lab with kehlani @MsBriaMarie brittneyorourke cooking up something crazy #beamteam http://t.co/lMCfo6gjeU
17224281_381104958013046784 x	Checkout my boy Dox  Barias - Songs That Changed Our Lives by WriteLaughDream via #soundcloud https://t.co/Qoo1HAyw5j
17224281_381041491956600832 x	RT @TrayLee: GOOD MORNING PEOPLE & THANK YOU JESUS!
17224281_381036865295376384 x	through the knowledge of Him who called us by glory and virtue.2 Peter 1:3 *NKJV
17224281_381036848165838848 x	Good morning... His divine power has given to us all things that pertain to life and godliness,
17224281_380675352051216384 x	that through death he might destroy him that had the power of death, that is, the devil; Hebrews 2:14
17224281_380675316852617216 x	Good morning...Forasmuch then as the children are partakers of flesh and blood, he also himself likewise took part of the same;
17224281_380381538732736512 x	What u sell yourself for is exactly what they will pay for you... #CGHThought http://t.co/l6AWANviO2
17224281_380320205349863424 x	Great things happen in the unknown.... #CGHThought http://t.co/avJytrnPNn
17224281_380312896548249601 x	gave himself up for us as a fragrant offering and sacrifice to God.Ephesians 5:1-2 *NIV
17224281_380312876092628993 x	Good morning... Be imitators of God,therefore, as dearly loved children and live a life of love,just as Christ loved us and
17224281_380111850853388288 x	@kennydeshields truth
17224281_379971536498601984 x	@erexthetraveler My manz...
17224281_380111759056859136 x	@erexthetraveler ok cool
17224281_380111621584334848 x	RT @doxortho: Shouts and thanks to @urbanceleb215 for naming @carvinhaggins and myself in the 2013 "Philly Power 30"? http://t.co/zw1w4MuqDS
17224281_379969412742148098 x	and that he is a rewarder of them that diligently seek him. Hebrews 11:6
17224281_379971262677647361 x	@BlackPearlIV TGBTG...
17224281_379780098888859648 x	@MarioSmithMusic TGBTG....
17224281_379971002211397632 x	@MarioSmithMusic Dude... your dope...
17224281_379969992361394176 x	RT @MishaMicheale: #repost @carvinhaggins so true!!! http://t.co/ELjuh7pjqO
17224281_379969896840314880 x	RT @mastaace: @CarvinHaggins @doxortho @NickCannon  Carv! Ivan!
17224281_379969881849864194 x	RT @MarcusBaylor: @CarvinHaggins @doxortho @AndreDreHarris Well deserved bros!
