58003762_382983969400426496 x	RT @m_regan: Local honeycrisp apple, whipped ricotta sandwich, red onion, arugula, wheat toast special at @SPTapRoom http://t.co/R2GV3MOZRi
58003762_382980796619177984 x	new specials! white bean soup//apple & ricotta sandwich
58003762_382972455855611904 x	new! dogfish head punkin' & saucony creek stonefly ipa
58003762_382632290486321152 x	SPTR turns 10 next month! get ready to party with us October 18th-20th! gotta condense a decades worth of fun into 3 days... #SPTR10
58003762_382620352851247104 x	RT @m_regan: Chicken liver mousse on toast, pickled red onion special snack at @SPTapRoom http://t.co/gPin2pkYAc
58003762_382620300967702528 x	new drafts: liefman's fruitesse//sierra nevada pale ale//founders breakfast stout
58003762_381570839856283648 x	troegs java head stout & sixpoint autumnation on draft now
58003762_381535168168988672 x	lagunitas a little sumpin' wild on draft now
58003762_381170254719639552 x	Brown sugar pound cake, local peaches, dulce de leche whipped cream, candied almonds new dessert! http://t.co/1KiIwq6ppD
58003762_381522924454563840 x	@Carpisxxx yes it's on our regular menu
58003762_381483166311407616 x	RT @yunkk: Holy shit @sptaproom is almost 10 years old. #cray
58003762_381171067437346816 x	Crispy potato tacos, salsa verde, queso fresco, crema, pinto beans, salad on special tonight! http://t.co/3NKUfKhlV9
58003762_381170528402169856 x	Pork dumpling soup, watercress, scallion, chicken broth on special! http://t.co/oyVwQKQLUs
58003762_381169591319560193 x	new specials! pork dumpling soup/vegan pizza/crispy potato tacos
58003762_380825376169406464 x	paulaner oktoberfest on draft now
58003762_380800566336565248 x	Vegan pizza is on special tonight! http://t.co/RhYIercwI6
58003762_380804222155231232 x	@zaw56 roasted eggplant, marinated cherry tomato, baby arugula, black olive
58003762_379359216773107713 x	new: kenzo' lantern & founders centennial
58003762_379350172444401664 x	allagash/de la senne very speciale belge & hacker-pschoor oktoberfest on draft now
58003762_379124561335558144 x	new: harpoon ufo pumpkin/sierra nevada tumbler/bell's brewing kalamazoo/green jack rippa/silly sour
58003762_379018777033453569 x	port brewing bourbon barrel aged santa's little helper on draft now!
58003762_376844831357960192 x	stone 17th anniversary on draft now!
58003762_376404250127245312 x	new: dogfish head punkin ale & cuv?e des jacobins rouge
58003762_376101696642236416 x	RT @m_regan: Me with THE Super Big Mark on special @SPTapRoom !! http://t.co/HEqjD9KCYa
58003762_376089103923941376 x	new: passion oysters/chicken liver mousse on toast/pork dumpling soup/beer steamed clams/the super big mark
58003762_376087441662566400 x	allagash black & @americansardine ale on draft now!
58003762_376086654207143936 x	RT @foodsyoucaneat: 2 year anniversary of @m_regan!!! Behold the Super Big Mark!!! at @SPTapRoom #burgers http://t.co/imerzZC8Wa
58003762_375697185675165696 x	RT @m_regan: Today is my 2 years at the @SPTapRoom. What did you get me?
