20034040_339529570376089600 x	Please watch. Inspiring. But heartbreaking. Please take a second to share the truth. http://t.co/aEnG2PVPmp
20034040_339447051706314753 x	I'm watching #abfab on #GetGlue http://t.co/Ay9qwkKZjA
20034040_339266825579798529 x	****FYI****So I'm EXTREMELY sorry if I haven't been getting back to certain people right away on email or phone.... http://t.co/qNeZ9lO7jz
20034040_339252584961429504 x	Absolutely gorgeous. http://t.co/9o0DudIKCe
20034040_339135990453121024 x	Only heard about this today from the Nerdist Podcast. Sounded promising :) #MagnoliaPics #GetGlue http://t.co/77B4e38yYg
20034040_339104606233718784 x	@MattMira Matt, are we in need of a little self esteem pick me up? ;)
20034040_339103772913565696 x	RT @JoshRyanDesign: @peteholmes Made a little website inspired by your episode of You Made it Weird with Jon Hamm. Check it out: http://t.c?
20034040_338498400465080321 x	iPhone Screen Broken? Here Are Your Repair Options http://t.co/OipREJ9Efv
20034040_338233454426722306 x	I'm watching #Shine on #GetGlue http://t.co/0r1maffY50
20034040_338092538185539584 x	A classic. #InvasionOfTheBodySnatchers #GetGlue http://t.co/sf4Jgc3Oec
20034040_337810475385507840 x	God this movie NEVER gets old lol #Bowfinger #GetGlue http://t.co/eeilLP8UdA
20034040_337452753452408833 x	@mindykaling Mindy! What is your favorite line from Matt & Ben? Just finished it. What a gem! #theatergeek
20034040_337452388229193729 x	@JuddApatow What is your favorite line form a horror film? Compiling a list!
20034040_337452079868162048 x	@HamillHimself What is your favorite line from a horror movie? Trying to compile a good list!
20034040_337444850402197504 x	There's An App For That: 10 Household Items Replaced By Software [iOS] http://t.co/T1MNopYJ0p
20034040_337444646970085376 x	Keep Boredom At Bay With Playable Google Doodles http://t.co/DtVu1Yo9fX
20034040_337349478988271616 x	Holy hammer! Man finds $100G comic book while remodeling Minnesota home http://t.co/3LtlX8zEqG
20034040_337334972174172161 x	Totally. http://t.co/C0vq6sCkIr
