953164392_381282742861717504 x	RT he Sneezing like a fool!
953164392_381277231252660224 x	RT he Maria was his only DIVA to really have success in his 00's. Everybody fell off, but it did not matter no more cause
953164392_381277217025564673 x	RT he I've been listening to music since a kid. The last time music was something was when MARIAH, CELINE, WHITNEY, and Toni
953164392_381277179264258048 x	RT he For his 2000'S bonce sang her ass off but Christina was "The Voice". The problem for Christina is KNOWING HOW TO USE
953164392_381276829589336064 x	RT he I live in a world where he has 31 Million followers and he stills follow me. Still wondering how his hell that
953164392_380906174792482816 x	RT he  Lil KIM'S HOUSE VS. Nicki MINAJ'S HOUSE ! VOTE NOW! no URL
953164392_380902794489634817 x	he and he are both appeal too old for going back and telling people what other people said I want them both off his show
953164392_380879859964063748 x	RT he Loving all his positive feedback on #TinyTonight from all of his East Coast viewers!! Love ladies #GirlPower!!
953164392_380565524725248002 x	Ja Rule killed it welcome back Ja
953164392_380531577895129088 x	RT he See when been training people since days of training bras....stay tuned;) #goaldiggers URL
953164392_380531492725608449 x	RT he Yea. So has anyone just now found out his amugis application was already in their settings? Yea me
953164392_380529636934836224 x	he he he he he you sound crazy did you not watch episode 16 Teresa his back hurts
953164392_380526729002905600 x	So how does everyone feel realizing he was behind everything
953164392_380526263439343616 x	he www thanks hun!
